Date,Region,Sales_Rep,Product,Quantity,Unit_Price,Total_Sale
2025-11-11,South,David,Mouse,9,346,3114
2025-11-11,West,Chika,Monitor,6,208,1248
2025-11-11,South,Ben,Laptop,1,609,609
2025-11-11,South,Ben,Headphones,3,473,1419
2025-11-11,South,Ben,Printer,9,484,4356
2025-11-11,South,Ella,Printer,9,479,4311
2025-11-11,North,Ella,Printer,4,847,3388
2025-11-11,West,Alice,Printer,5,425,2125
2025-11-11,North,Ella,Webcam,1,1277,1277
2025-11-11,West,David,Laptop,4,1110,4440
2025-11-11,North,Chika,Monitor,5,585,2925
2025-11-11,North,Ella,Mouse,5,486,2430
2025-11-11,North,Ben,Mouse,4,1267,5068
2025-11-11,South,Ben,Keyboard,8,1054,8432
2025-11-11,South,Ella,Printer,4,650,2600
2025-11-11,North,Ella,Webcam,4,1258,5032
2025-11-11,East,Ella,Headphones,5,1456,7280
2025-11-11,North,Ben,Headphones,2,500,1000
2025-11-11,North,Ben,Headphones,1,523,523
2025-11-11,South,Ben,Mouse,4,1336,5344
2025-11-11,South,Ella,Keyboard,9,1116,10044
2025-11-11,East,Chika,Webcam,2,342,684
2025-11-11,South,David,Headphones,4,660,2640
2025-11-11,South,Ella,Webcam,7,1431,10017
2025-11-11,South,Ben,Laptop,7,704,4928
2025-11-11,South,David,Monitor,7,1147,8029
2025-11-11,West,Ella,Headphones,5,681,3405
2025-11-11,West,David,Monitor,8,1107,8856
2025-11-11,West,David,Headphones,7,745,5215
2025-11-11,East,Ella,Printer,2,786,1572
2025-11-11,East,Alice,Laptop,4,730,2920
2025-11-11,South,Alice,Webcam,4,1123,4492
2025-11-11,East,David,Mouse,5,1458,7290
2025-11-11,North,Ella,Headphones,4,822,3288
2025-11-11,East,Ella,Headphones,2,783,1566
2025-11-11,South,Chika,Mouse,8,1057,8456
2025-11-11,East,Alice,Headphones,8,222,1776
2025-11-11,North,Chika,Monitor,1,972,972
2025-11-11,North,Ella,Printer,9,791,7119
2025-11-11,South,Alice,Mouse,8,659,5272
2025-11-11,North,Alice,Webcam,8,1189,9512
2025-11-11,North,Ben,Laptop,4,1052,4208
2025-11-11,East,Alice,Monitor,1,501,501
2025-11-11,North,Alice,Mouse,4,1174,4696
2025-11-11,North,David,Printer,4,846,3384
2025-11-11,North,Ben,Keyboard,9,1210,10890
2025-11-11,East,Alice,Monitor,5,898,4490
2025-11-11,East,Ben,Printer,1,1329,1329
2025-11-11,North,Chika,Keyboard,4,1332,5328
2025-11-11,South,Alice,Monitor,3,476,1428
2025-11-11,North,Chika,Mouse,7,1327,9289
2025-11-11,North,Ben,Keyboard,2,831,1662
2025-11-11,South,Alice,Mouse,1,1409,1409
2025-11-11,West,David,Webcam,6,1052,6312
2025-11-11,South,Ella,Webcam,6,460,2760
2025-11-11,North,Alice,Webcam,5,259,1295
2025-11-11,East,Alice,Headphones,8,862,6896
2025-11-11,West,Chika,Headphones,9,698,6282
2025-11-11,East,Alice,Headphones,8,400,3200
2025-11-11,North,Ben,Mouse,5,1065,5325
2025-11-11,North,Alice,Laptop,4,1088,4352
2025-11-11,South,David,Printer,6,81,486
2025-11-11,East,David,Printer,3,1206,3618
2025-11-11,West,Ben,Mouse,2,1168,2336
2025-11-11,South,Ella,Headphones,9,230,2070
2025-11-11,East,Chika,Mouse,2,322,644
2025-11-11,North,Chika,Headphones,2,367,734
2025-11-11,East,David,Keyboard,6,178,1068
2025-11-11,West,Alice,Headphones,9,506,4554
2025-11-11,East,Alice,Laptop,7,1295,9065
2025-11-11,North,Alice,Headphones,5,598,2990
2025-11-11,West,Chika,Webcam,2,1399,2798
2025-11-11,West,Ella,Laptop,2,1171,2342
2025-11-11,North,David,Headphones,6,573,3438
2025-11-11,North,Chika,Keyboard,5,472,2360
2025-11-11,North,Ben,Laptop,1,107,107
2025-11-11,East,Ella,Headphones,6,317,1902
2025-11-11,North,Ben,Printer,3,211,633
2025-11-11,South,David,Headphones,2,234,468
2025-11-11,North,Alice,Webcam,5,110,550
2025-11-11,East,Chika,Headphones,8,245,1960
2025-11-11,West,Ella,Headphones,5,105,525
2025-11-11,North,Ben,Laptop,8,706,5648
2025-11-11,North,David,Monitor,5,777,3885
2025-11-11,West,Ben,Laptop,5,1259,6295
