Date,Region,Sales_Rep,Product,Quantity,Unit_Price,Total_Sale
2025-11-25,North,Ben,Webcam,4,571,2284
2025-11-25,South,Chika,Printer,1,993,993
2025-11-25,East,Chika,Laptop,9,234,2106
2025-11-25,West,Ben,Mouse,1,239,239
2025-11-25,East,David,Webcam,7,979,6853
2025-11-25,North,Ben,Monitor,3,1308,3924
2025-11-25,North,Ben,Headphones,3,626,1878
2025-11-25,West,Alice,Monitor,7,99,693
2025-11-25,North,David,Keyboard,1,1399,1399
2025-11-25,East,Chika,Webcam,2,736,1472
2025-11-25,South,Ella,Printer,9,689,6201
2025-11-25,East,David,Keyboard,2,97,194
2025-11-25,North,Alice,Laptop,6,1248,7488
2025-11-25,North,Ben,Printer,7,327,2289
2025-11-25,West,Ben,Laptop,3,1305,3915
2025-11-25,East,Alice,Headphones,7,648,4536
2025-11-25,West,Ben,Headphones,7,1165,8155
2025-11-25,South,Ben,Webcam,2,866,1732
2025-11-25,North,David,Laptop,2,1101,2202
2025-11-25,South,Chika,Headphones,4,143,572
2025-11-25,North,David,Mouse,5,683,3415
2025-11-25,North,David,Printer,2,361,722
2025-11-25,North,Alice,Mouse,8,234,1872
2025-11-25,South,Chika,Webcam,8,414,3312
2025-11-25,West,Ben,Laptop,8,727,5816
2025-11-25,South,Ben,Headphones,3,906,2718
2025-11-25,West,Ben,Printer,2,915,1830
2025-11-25,North,David,Keyboard,9,398,3582
2025-11-25,South,Alice,Keyboard,8,1070,8560
2025-11-25,North,Ben,Monitor,5,1304,6520
2025-11-25,North,Ella,Printer,8,750,6000
2025-11-25,South,Chika,Webcam,8,834,6672
2025-11-25,West,Ella,Printer,8,353,2824
2025-11-25,West,Ben,Monitor,5,63,315
2025-11-25,West,Alice,Headphones,1,1227,1227
2025-11-25,West,David,Mouse,4,598,2392
2025-11-25,South,Ella,Laptop,9,1356,12204
2025-11-25,South,Ben,Headphones,5,563,2815
2025-11-25,West,Ella,Laptop,9,1448,13032
2025-11-25,North,Alice,Printer,4,1211,4844
2025-11-25,North,Chika,Keyboard,2,350,700
2025-11-25,West,Chika,Printer,5,443,2215
2025-11-25,West,Chika,Monitor,2,123,246
2025-11-25,North,Alice,Mouse,8,1491,11928
2025-11-25,North,Ella,Keyboard,6,596,3576
2025-11-25,East,Alice,Mouse,7,738,5166
2025-11-25,South,David,Laptop,1,881,881
2025-11-25,North,Ben,Headphones,7,222,1554
